pitcher_mlb_id,pitchername,year_played,num_pitches,pitcher_height,x0,z0,arm_angle,pitch_extension_cleaned,arm_slot
595978,Austin Hedges,2023,42.0,73.0,-2.58,6.12,54.30184621452089,5.055,Three-Quarters
596001,Jakob Junis,2023,1296.0,75.0,-1.78,5.73,52.4094387316383,5.96,Three-Quarters
596057,Daniel Norris,2023,258.0,74.0,2.62,5.415,67.33371966400611,6.1,Sidearm
596082,Jake Reed,2023,29.0,74.0,-3.37,4.45,87.7450125344825,5.15,Sidearm
596112,Robert Stephenson,2023,684.0,75.0,-0.9,5.84,31.32513883850217,6.03,Three-Quarters
596133,Luke Weaver,2023,1955.0,74.0,-1.14,5.61,39.93113692129361,5.81,Three-Quarters
596271,Casey Lawrence,2023,243.0,72.0,-2.76,5.06,72.56806739765302,6.24,Sidearm
596295,Austin Gomber,2023,2167.0,77.0,1.46,6.45,36.74701927747759,6.64,Three-Quarters
598264,Matt Barnes,2023,405.0,76.0,-1.41,6.32,36.353587755068574,6.71,Three-Quarters
598286,Nick Ramirez,2023,549.0,76.0,2.83,5.8,64.45894120581472,5.78,Sidearm
600917,José Leclerc,2023,804.0,72.0,-1.34,5.85,39.39256803930824,5.57,Three-Quarters
600921,Andrés Machado,2023,584.0,73.0,-1.76,5.3,59.70399621134193,6.77,Three-Quarters
601713,Nick Pivetta,2023,2028.0,77.0,-1.2,6.47,31.02452987588399,6.84,Three-Quarters
605130,Scott Barlow,2023,1020.0,75.0,-1.81,5.16,65.64003897231294,7.01,Sidearm
605135,Chris Bassitt,2023,2752.0,77.0,-1.32,5.55,50.684415314336384,6.32,Three-Quarters
605151,Archie Bradley,2023,149.0,76.0,-1.76,5.88,51.04691670152957,6.68,Three-Quarters
605154,John Brebbia,2023,519.0,73.0,-1.7349999999999999,5.77,48.915531897038534,6.84,Three-Quarters
605155,Colten Brewer,2023,104.0,76.0,-2.0,5.97,51.88161788997477,6.45,Three-Quarters
605177,Andrew Chafin,2023,800.0,74.0,1.83,6.15,45.10016734465133,6.71,Three-Quarters
605182,Mike Clevinger,2023,1688.0,76.0,-1.48,5.67,49.714754518704936,6.72,Three-Quarters
605200,Zach Davies,2023,1268.0,72.0,-1.51,5.42,50.926944973193095,6.11,Three-Quarters
605218,Carl Edwards Jr.,2023,574.0,75.0,-1.92,6.29,45.07837995044067,6.79,Three-Quarters
605242,Michael Fulmer,2023,935.0,75.0,-2.39,5.89,57.70245363010039,6.69,Three-Quarters
605280,Clay Holmes,2023,908.0,77.0,-0.65,6.39,18.917186556823182,5.94,Overhand
605288,Adrian Houser,2023,1540.0,75.0,-1.23,5.77,41.789481195596956,6.83,Three-Quarters
605347,Jorge López,2023,826.0,75.0,-2.24,5.6,61.158006966809396,6.34,Sidearm
605397,Joe Musgrove,2023,1562.0,77.0,-1.22,6.26,34.153201370321774,6.15,Three-Quarters
605400,Aaron Nola,2023,2729.0,74.0,-1.82,5.15,65.33854831625027,6.83,Sidearm
605441,Yacksel Ríos,2023,62.0,75.0,-1.28,5.4,52.01844766891658,6.5649999999999995,Three-Quarters
605446,Dereck Rodríguez,2023,43.0,72.0,-0.78,6.19,21.428672684650234,6.43,Overhand
605447,Jordan Romano,2023,774.0,77.0,-2.51,5.79,62.6742470357576,7.49,Sidearm
605463,Tayler Scott,2023,346.0,75.0,-1.51,4.87,72.35127213610761,5.79,Sidearm
605483,Blake Snell,2023,2773.0,76.0,1.96,6.39,44.616756354365236,6.86,Three-Quarters
605488,Jeffrey Springs,2023,211.0,75.0,2.05,5.81,55.828023203573174,6.54,Three-Quarters
605498,Andrew Suárez,2023,316.0,72.0,1.37,6.135,35.138157065435585,5.81,Three-Quarters
605513,Spencer Turnbull,2023,556.0,75.0,-1.37,5.43,52.28230409320751,6.41,Three-Quarters
605540,Brandon Woodruff,2023,745.0,76.0,-1.18,5.69,42.76482554698847,6.7,Three-Quarters
605612,Harold Castro,2023,29.0,70.0,-1.365,5.955,37.52086525487309,4.81,Three-Quarters
606149,Giovanny Gallegos,2023,819.0,74.0,-1.64,6.495,36.953426564399486,5.75,Three-Quarters
606160,Rafael Montero,2023,1072.0,72.0,-1.29,4.98,58.91249467652001,6.31,Three-Quarters
606303,Joel Payamps,2023,956.0,74.0,-2.36,5.6,61.743854738051375,5.94,Sidearm
606625,Reyes Moronta,2023,48.0,70.0,-1.085,5.285,42.57059373355989,6.6850000000000005,Three-Quarters
606930,Jacob Barnes,2023,64.0,74.0,-1.13,5.67,39.42747831505306,6.755,Three-Quarters
606965,Chris Devenski,2023,594.0,75.0,0.12,6.31,5.182714375182091,6.3149999999999995,Overhand
607054,Jace Peterson,2023,43.0,72.0,-1.76,6.78,34.49102542232045,5.04,Three-Quarters
607067,Colin Rea,2023,1704.0,77.0,-1.94,5.53,61.80669541357102,6.56,Sidearm
607074,Carlos Rodón,2023,737.0,74.0,1.76,6.3,41.59538232412147,6.24,Three-Quarters
607179,Jordan Weems,2023,758.0,75.0,-1.07,5.91,34.239086254685304,6.42,Three-Quarters
607188,Jake Faria,2023,65.0,76.0,-1.53,6.19,40.678698082698006,6.23,Three-Quarters
607192,Tyler Glasnow,2023,1561.0,80.0,-1.74,5.92,54.30504858616887,7.43,Three-Quarters
607216,Joey Krehbiel,2023,61.0,75.0,-0.7,5.44,31.150630557988563,6.07,Three-Quarters
607237,Amir Garrett,2023,476.0,77.0,2.105,5.77,58.235588983774484,6.355,Three-Quarters
607259,Nick Martinez,2023,1543.0,73.0,-1.67,6.0,43.64069421393141,5.97,Three-Quarters
607359,Spencer Patton,2023,209.0,73.0,-1.63,4.99,65.83692518412525,6.34,Sidearm
607455,Anthony Banda,2023,161.0,74.0,1.71,5.7,50.85451048994784,6.46,Three-Quarters
607457,Kyle Barraclough,2023,156.0,75.0,-2.36,5.5,64.94264530844235,6.54,Sidearm
607461,Matt Beaty,2023,22.0,72.0,-1.4849999999999999,7.324999999999999,26.06941031691834,4.79,Overhand
607481,Aaron Bummer,2023,977.0,75.0,2.14,5.13,70.36323654254332,6.44,Sidearm
607536,Kyle Freeland,2023,2296.0,76.0,1.33,5.61,49.139743143176375,6.69,Three-Quarters
607625,Seth Lugo,2023,1971.0,76.0,-1.02,5.57,41.05825551013412,5.98,Three-Quarters
607732,Jacob Stallings,2023,43.0,77.0,-1.96,6.5,43.747716677347654,5.12,Three-Quarters
607755,Andrew Vasquez,2023,821.0,78.0,2.73,5.905,63.014819137706354,6.02,Sidearm
607968,Drew Rucinski,2023,350.0,74.0,-2.5,5.525,64.23024333932428,6.675,Sidearm
