Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Walker Buehler,1046,3.373157208,4.269279606,4.388651297,2.046167504,3.3854053,3.294433815,2.582814389,
Scott Barlow,1198,3.373552399,3.802891739,,3.630894676,,2.797521595,,
John King,749,3.374509539,,3.289199048,3.6296659,3.511944046,,3.038117478,
Eduard Bazardo,236,3.379978881,3.708027985,3.725515743,3.01484764,3.501002333,,,
Tyler Wells,1649,3.385539751,4.034249816,3.371068844,3.232519696,1.749969044,4.089439222,,
Logan Gillaspie,262,3.387683575,3.067324216,,3.715203066,3.641916099,,,
John Schreiber,1020,3.389789757,3.082003359,3.416317711,3.531640517,4.010884327,3.291217064,,
Casey Lawrence,297,3.40164121,4.291443858,4.591956139,2.731096867,3.402313693,,,
Andrew Heaney,1230,3.402523146,2.76886343,4.598948603,3.81860478,4.595336157,5.133777166,,
Trevor Stephan,1032,3.408800215,3.623383585,,2.490960284,,,,3.859586539
Michael Wacha,1949,3.409980095,3.971076804,5.125772169,,1.911858899,3.58341219,3.6206906,
Nabil Crismatt,1062,3.420911657,4.329559878,5.636484068,,2.720810134,3.661372177,,
Adam Cimber,1044,3.429706214,3.103303339,3.323347133,3.843712366,,,,
Steven Wilson,874,3.431455504,3.958848288,,2.804142472,4.176485044,,,
Taylor Clarke,859,3.434342988,3.67007379,,2.88154512,3.922300952,,,
Steven Matz,849,3.434978803,,3.914672608,6.162732689,3.095195456,2.422336053,,
Drey Jameson,369,3.451220787,3.658517773,4.028529122,2.388863843,5.617896242,,,
Julian Merryweather,417,3.455794716,3.793743262,,3.054346055,2.944210458,3.690789481,,
Tim Hill,745,3.457162221,3.39808167,3.256887781,4.211616152,,,5.159514252,
Emilio Pagán,1126,3.45977977,3.438960275,,,,,3.822306429,3.25501085
Jarlín García,1015,3.463417875,3.30209824,,3.572764084,3.608127112,,,
Jakob Junis,1802,3.46383667,,4.119102042,2.848449448,4.246584517,,3.912820562,
Brent Suter,1070,3.466941833,3.355235755,5.455653368,,2.995278445,5.015058939,,
Joel Kuhnel,934,3.468521907,3.618205235,3.662076673,3.301160811,3.353355363,,,
Víctor Arano,678,3.468947638,3.840465613,4.166310257,2.750182758,,,,
