Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS,PLV,Quality Pitch,Average Pitch,Bad Pitch,QP-BP
Heath Hembree,363,5.555377759,6.054501951,,4.896484486,,4.782046302,,,5.120645,0.449152542,0.220338983,0.330508475,0.118644068
Trevor Gott,217,5.556190273,5.696245455,,,,5.761512053,,,4.8528776,0.483660131,0.150326797,0.366013072,0.117647059
Geoff Hartlieb,409,5.565810132,,6.186773852,5.519828097,,,,,4.6836343,0.420792079,0.207920792,0.371287129,0.04950495
Jake Newberry,387,5.572282965,6.721329946,,4.950710604,,,,,4.4463954,0.354285714,0.171428571,0.474285714,-0.12
Phillips Valdez,509,5.575192294,,5.33154157,5.468448034,5.895330366,,,,4.6112843,0.370517928,0.167330677,0.462151394,-0.091633466
Casey Mize,543,5.587984691,5.594373987,5.870780809,5.318864725,,5.752112756,,5.408339112,4.981759,0.484536082,0.12371134,0.391752577,0.092783505
Luis Patiño,349,5.609403464,5.410977641,,5.769451657,7.140871004,,,,4.9584937,0.349206349,0.222222222,0.428571429,-0.079365079
Chi Chi González,347,5.609903885,5.517550264,7.348208985,,5.975961648,4.256117197,5.271951608,,4.678982,0.384615385,0.192307692,0.423076923,-0.038461538
Aníbal Sánchez,972,5.619155596,5.651158812,6.783902247,,6.010774486,3.614079525,5.832342923,5.521241347,5.438074,0.564705882,0.117647059,0.317647059,0.247058824
Robert Stock,253,5.623225021,5.817541188,,3.707683637,8.036020589,,,,4.851055,0.432098765,0.203703704,0.364197531,0.067901235
Blake Parker,315,5.623460293,6.776190782,,,,6.041589608,,4.1711853,4.649545,0.375,0.1875,0.4375,-0.0625
Austin Brice,359,5.63302289,5.949809355,5.847850936,,,5.26192261,,,4.7772746,0.431372549,0.176470588,0.392156863,0.039215686
Brad Boxberger,357,5.646816678,6.600921726,,6.478185124,3.267471934,,,,5.6112847,0.581395349,0.11627907,0.302325581,0.279069767
Anthony DeSclafani,602,5.650923927,5.414584645,6.415461139,5.421655691,6.951966244,4.793530087,,,4.4105096,0.365853659,0.170731707,0.463414634,-0.097560976
Cole Sulser,416,5.656471926,6.491772302,,5.463645174,3.931177027,,,,5.346238,0.518518519,0.111111111,0.37037037,0.148148148
Steven Brault,746,5.670618296,6.865895747,7.282194204,4.459454651,4.633805746,,,,4.389602,0.35451505,0.193979933,0.451505017,-0.096989967
Lewis Thorpe,272,5.678324797,5.586589042,,5.188032311,6.962397621,5.93897007,,,4.824544,0.353658537,0.219512195,0.426829268,-0.073170732
Yohan Ramirez,420,5.698104858,6.066583721,,5.745904984,,,,,4.894336,0.438016529,0.152892562,0.409090909,0.02892562
Scott Alexander,202,5.699063688,,5.683843228,5.77992287,,,,,4.6028514,0.28125,0.1875,0.53125,-0.25
Shaun Anderson,277,5.709758427,6.010768422,,6.259657609,,,,,4.710974,0.440366972,0.19266055,0.366972477,0.073394495
Brandon Bielak,597,5.729765415,6.319196182,,5.898165188,3.700049973,7.185032785,5.17541791,,4.7998185,0.451612903,0.112903226,0.435483871,0.016129032
Dane Dunning,571,5.740742403,6.389587051,5.514409083,4.893051381,6.553522213,6.50493058,,,4.4027886,0.333333333,0.174603175,0.492063492,-0.158730159
Andre Scrubb,407,5.746249991,,,,,5.50945159,5.983342437,,4.777201,0.392670157,0.19895288,0.408376963,-0.015706806
Kolby Allard,658,5.757731976,6.024520605,,,5.885910174,6.906745979,4.938887006,,5.139891,0.49,0.205,0.305,0.185
Sam Howard,361,5.766031174,5.67270964,,5.924405971,,,,,4.6471567,0.388392857,0.147321429,0.464285714,-0.075892857
Steve Cishek,374,5.795737839,5.69103315,5.320548701,6.165134255,,,,,4.863149,0.404761905,0.166666667,0.428571429,-0.023809524
Mitch Keller,385,5.815609624,6.107831907,,6.117544248,,5.897072814,,,4.715563,0.310810811,0.162162162,0.527027027,-0.216216216
Kyle Ryan,268,5.835571289,5.967395367,5.899181704,,,4.43329412,6.023195839,,5.105261,0.304347826,0.391304348,0.304347826,0
Alex Wood,282,5.878401706,,5.621783557,,6.381064309,7.290201823,,,4.7392206,0.358024691,0.185185185,0.456790123,-0.098765432
Daniel Mengden,231,5.904559367,7.040294848,,,3.835817495,6.845268739,4.827902796,,5.3966208,0.448275862,0.310344828,0.24137931,0.206896552
Ryan Tepera,369,5.906035885,5.264977868,6.859928942,6.837111113,,,5.79804602,,4.4419117,0.3,0.2,0.5,-0.2
Junior Guerra,404,5.935760928,4.947531293,5.667563048,,,6.484036455,,7.503463427,4.9408784,0.507352941,0.139705882,0.352941176,0.154411765
Jeff Hoffman,399,5.937957287,6.390435673,,,4.879277264,6.170675721,,,4.725973,0.444444444,0.194444444,0.361111111,0.083333333
Jason Adam,260,5.946494684,5.959269893,,,4.257454267,6.758665827,,,4.815393,0.446043165,0.158273381,0.395683453,0.050359712
Julio Teheran,572,5.951516009,6.374911519,6.341802329,5.335806533,5.397640228,5.4400636,,,4.909555,0.333333333,0.196969697,0.46969697,-0.136363636
Corey Knebel,263,5.953681755,6.213882332,,,,5.745310048,,,4.9331613,0.430107527,0.161290323,0.408602151,0.021505376
Jairo Díaz,364,5.959724426,7.031390856,6.642922462,4.846217941,,,,,4.53802,0.352272727,0.147727273,0.5,-0.147727273
Jake Odorizzi,283,5.972590563,6.556006462,,4.060514672,,,6.046409604,7.319577995,4.599752,0.363636364,0.181818182,0.454545455,-0.090909091
Carlos Martínez,402,5.979254913,6.496998832,7.289220146,4.802864933,5.603883291,5.059204736,,,5.213588,0.455555556,0.244444444,0.3,0.155555556
Shun Yamaguchi,502,6.021243801,6.207459564,,7.689759841,5.551476577,8.384491476,,4.852260857,5.1645913,0.461538462,0.184615385,0.353846154,0.107692308
Eric Lauer,244,6.029697071,6.685925314,,,,8.09379727,6.527284426,,4.8787923,0.446153846,0.169230769,0.384615385,0.061538462
Josh James,340,6.078807978,6.320254696,,5.881421206,7.506724074,,,,4.443155,0.434782609,0.108695652,0.456521739,-0.02173913
Javy Guerra,286,6.079884631,6.403687952,,7.164141059,,5.018041568,,,4.390922,0.239130435,0.326086957,0.434782609,-0.195652174
Caleb Smith,267,6.121648516,5.969624325,,4.876840745,9.127966975,5.420657797,,,4.8166237,0.408759124,0.197080292,0.394160584,0.01459854
Brandon Workman,395,6.142070447,6.400899208,,,,7.725208495,4.15385144,,4.786178,0.352380952,0.171428571,0.476190476,-0.123809524
Tanner Roark,901,6.149187421,5.925989869,8.071498112,6.289318605,5.743717308,5.122566766,,,4.7109466,0.321428571,0.192857143,0.485714286,-0.164285714
Ryan Castellani,757,6.165798481,6.255123512,7.667992596,5.73835304,7.033430966,4.488080214,,,4.733713,0.404411765,0.227941176,0.367647059,0.036764706
Anthony Kay,410,6.169007801,6.233652991,,,6.721064536,5.675135304,,,4.649212,0.342465753,0.150684932,0.506849315,-0.164383562
Robbie Ray,1064,6.202219908,6.455947865,,6.354824467,,5.913883098,,,4.9551296,0.346456693,0.354330709,0.299212598,0.047244094
Justin Dunn,801,6.216826279,6.906787365,9.834757602,4.799254027,7.444087707,4.743468463,,,5.0277863,0.412698413,0.26984127,0.317460317,0.095238095
Dakota Bacus,225,6.231247397,,5.385837144,7.258018093,,,,,5.0402675,0.438356164,0.150684932,0.410958904,0.02739726
Michael Fulmer,528,6.268911339,6.481803822,6.343451677,5.850455972,6.273378359,6.618684672,,,4.6354766,0.4,0.05,0.55,-0.15
Ian Gibaut,241,6.324488253,6.972649934,,5.033787666,7.483449772,,,,4.4416823,0.289473684,0.157894737,0.552631579,-0.263157895
Touki Toussaint,491,6.368848409,7.405382667,7.094420636,7.636455556,,5.291641621,,5.369201062,4.527271,0.384615385,0.16025641,0.455128205,-0.070512821
Nick Goody,246,6.391964999,6.386297537,,6.396255468,,,,,4.961348,0.478571429,0.171428571,0.35,0.128571429
Gio González,618,6.395618158,7.175582872,7.369563197,,5.867715902,5.773758799,,,4.908613,0.367521368,0.239316239,0.393162393,-0.025641026
Jacob Waguespack,397,6.410648562,6.299359299,10.12102584,,7.081130343,6.071940259,6.68509472,,5.0460706,0.444444444,0.203703704,0.351851852,0.092592593
Evan Phillips,284,6.461406619,7.04679615,,5.898975085,3.22945923,,,,4.58812,0.372340426,0.196808511,0.430851064,-0.058510638
Robert Gsellman,278,6.49394989,5.619979059,6.902118376,6.107303628,7.456205954,6.977430512,,,4.6313157,0.327272727,0.227272727,0.445454545,-0.118181818
Brady Lail,300,6.510023,5.671978251,7.736563772,7.194871319,6.684362167,6.094642696,,,4.5437517,0.272727273,0.272727273,0.454545455,-0.181818182
Franklyn Kilome,229,6.564876332,,7.763182344,,5.903565597,5.637209018,,,4.998988,0.390625,0.25,0.359375,0.03125
Dellin Betances,241,6.569236319,8.794951303,,,,5.346878632,,,5.1069813,0.509803922,0.137254902,0.352941176,0.156862745
Kevin Ginkel,340,6.612615585,7.375619024,,5.604765949,,,,,4.634,0.379310345,0.201970443,0.418719212,-0.039408867
Humberto Mejía,205,6.707765198,7.04736321,,4.866624601,9.985837984,5.836636321,,,3.8835099,0.25,0.2,0.55,-0.3
Brad Brach,250,6.745006046,8.449708102,9.412552859,6.768231429,4.403350553,,5.752437123,,4.704685,0.406779661,0.186440678,0.406779661,0
Daniel Ponce de Leon,646,6.782754392,6.509056558,,,8.459687532,7.091157749,7.033744929,,4.730155,0.410126582,0.207594937,0.382278481,0.027848101
Dovydas Neverauskas,358,6.785538523,6.955470514,,,,6.320546933,6.943707979,,4.519127,0.295918367,0.183673469,0.520408163,-0.224489796
Zack Godley,553,6.979793637,11.80999397,9.450943605,,9.884754156,5.718173414,6.478682082,,3.7479305,0.196428571,0.125,0.678571429,-0.482142857
Ryan Borucki,322,7.003572693,,8.504509342,5.628861091,6.311188044,,,,4.7434535,0.311111111,0.266666667,0.422222222,-0.111111111
Matt Harvey,247,7.177678789,7.444468117,,5.993247996,12.18827375,4.708914448,,,4.9770494,0.339285714,0.232142857,0.428571429,-0.089285714
Wilmer Font,368,7.202114962,7.475151644,7.384900556,7.785727609,,5.649961058,,4.773739756,5.358677,0.5,0.1,0.4,0.1
Sean Newcomb,300,7.237731003,5.593838472,,7.908926359,10.51027275,8.261023731,,,5.128467,0.456790123,0.135802469,0.407407407,0.049382716
Marcus Walden,285,7.548884583,7.366125486,9.230633411,9.921170042,,,5.225563959,,4.1797457,0.293333333,0.12,0.586666667,-0.293333333
Jordan Yamamoto,270,7.796859741,9.20245105,,8.786139859,,6.985345595,7.381324945,,4.9227552,0.342105263,0.157894737,0.5,-0.157894737
Kyle Hart,260,7.8853843,8.940242236,8.576319671,8.295273762,6.947872964,,,,4.549551,0.363636364,0.151515152,0.484848485,-0.121212121
Matt Hall,210,8.305910551,6.362409766,,,,10.08527204,12.19930258,,4.2634897,0.313432836,0.194029851,0.492537313,-0.179104478
Zac Grotz,202,8.858555187,,10.33462883,,,10.48616138,,7.911390079,4.483412,0.367924528,0.188679245,0.443396226,-0.075471698
