Pitcher,Num_Pitches,PLA,FF,SI,SL,CH,CU,FC,FS,PLV,Quality Pitch,Average Pitch,Bad Pitch,QP-BP
Shane Bieber,1238,3.714610922,4.087658854,,4.643638744,4.800340977,2.945052495,2.876946147,,4.887126,0.396226415,0.160377358,0.443396226,-0.047169811
Ryan Pressly,353,3.722882952,3.934294202,,3.828972414,,3.133600925,,,5.273416,0.51369863,0.205479452,0.280821918,0.232876712
Julio Urías,875,3.731644509,3.820512746,4.294407023,3.738776708,4.391439432,3.097853746,,,5.207167,0.526539278,0.184713376,0.288747346,0.237791932
Andrew Heaney,1085,3.745750122,3.564364688,2.192579452,,4.487281159,4.098057434,,,5.772212,0.67816092,0.091954023,0.229885057,0.448275862
Adam Morgan,219,3.752321097,6.233616589,4.261827397,2.576595788,4.439318584,,,,5.674517,0.6,0.18,0.22,0.38
Tyler Glasnow,964,3.754689416,3.811096114,,,4.366729311,3.574141849,,,5.2794356,0.535958904,0.184931507,0.279109589,0.256849315
Shane Greene,398,3.768551562,,4.060421487,2.709395139,3.555003921,,4.482592813,,4.9814696,0.437908497,0.189542484,0.37254902,0.065359477
Brandon Woodruff,1211,3.781742286,3.164748115,4.195124523,4.313555221,3.858036794,3.843732435,,,5.2364163,0.474178404,0.20657277,0.319248826,0.154929577
Scott Barlow,507,3.792993927,4.47053722,,3.941259945,,2.539625993,,,5.076487,0.455026455,0.17989418,0.365079365,0.08994709
Matt Andriese,500,3.815577507,4.215495927,6.737595797,,2.635648617,4.476147108,3.916434944,,5.04828,0.462857143,0.165714286,0.371428571,0.091428571
Taylor Rogers,358,3.831256104,,5.144236525,,,2.332048298,,,5.796002,0.64556962,0.170886076,0.183544304,0.462025316
Trevor May,411,3.833685412,4.158510102,,3.355762678,4.868982237,,,,5.2289233,0.472081218,0.192893401,0.335025381,0.137055838
Walker Lockett,230,3.845441624,,4.588489184,,4.727742915,4.26180116,2.402342596,,5.579906,0.523809524,0.214285714,0.261904762,0.261904762
Jonathan Hernández,497,3.856204864,,4.149335319,3.151902704,5.538437015,,,,5.107129,0.516949153,0.139830508,0.343220339,0.173728814
Cristian Javier,889,3.859809361,3.872668097,,3.632709261,5.408285286,2.888807096,,,5.5479884,0.564516129,0.161290323,0.274193548,0.290322581
A.J. Cole,390,3.869888633,4.743429268,,3.346260967,5.368948427,,,,5.421247,0.49,0.19,0.32,0.17
Jarlín García,284,3.897244263,3.580972785,2.825521385,4.257939347,4.542858715,,,,4.9225,0.46,0.14,0.4,0.06
Jakob Junis,394,3.89960801,4.375677027,4.264888063,3.451292454,,4.348504375,,,5.02453,0.360655738,0.31147541,0.327868852,0.032786885
Aaron Slegers,387,3.902677683,4.854668577,3.537219512,3.868126475,3.078966345,,,,5.2205873,0.443708609,0.284768212,0.271523179,0.17218543
Pete Fairbanks,490,3.903629208,5.186952788,,2.276222717,,,,,5.8303356,0.565,0.235,0.2,0.365
Anthony Misiewicz,328,3.913847351,4.88722031,,4.059723864,,3.415542393,2.963233396,,5.52586,0.56302521,0.18487395,0.25210084,0.31092437
Chris Paddack,963,3.920114808,4.822428034,,,2.022193831,5.005942715,3.703169618,,4.850473,0.408450704,0.169014085,0.422535211,-0.014084507
Rowan Wick,304,3.923112576,3.732748961,,,,4.655192751,3.115403953,,5.3535624,0.502923977,0.198830409,0.298245614,0.204678363
Yoan López,286,3.92453171,4.534872346,,3.772508938,,,,,4.8229237,0.423076923,0.217948718,0.358974359,0.064102564
Mike Mayers,512,3.93628006,4.977831467,,3.368894218,,,3.953139468,,5.436294,0.514767932,0.181434599,0.303797468,0.210970464
Adam Wainwright,930,3.941841087,5.369425492,5.820830441,,5.256171874,2.614004409,3.274989141,,4.2914276,0.230769231,0.221719457,0.547511312,-0.316742081
Sandy Alcantara,662,3.942004976,4.326317257,4.095674183,3.105743544,4.902355282,3.542302884,,,5.438197,0.543352601,0.167630058,0.289017341,0.25433526
Adam Ottavino,339,3.944486306,,6.512865698,2.154536723,,,,,5.869768,0.635714286,0.135714286,0.228571429,0.407142857
Javy Guerra,235,3.945703697,,4.204191121,3.85711904,,,,,5.3213434,0.46969697,0.227272727,0.303030303,0.166666667
Drew Pomeranz,323,3.946982247,4.307782201,,,,2.731477333,,,5.648214,0.53968254,0.174603175,0.285714286,0.253968254
Chris Martin,282,3.951970842,4.145997706,4.410424544,3.550469475,3.690441641,,3.685255946,,4.9854393,0.413461538,0.182692308,0.403846154,0.009615385
Rafael Montero,289,3.953793796,3.373287625,4.840530305,,5.721448805,,,,5.389054,0.52027027,0.195945946,0.283783784,0.236486486
Enoli Paredes,362,3.957197128,3.780660255,,4.617428492,,,,,5.081411,0.407407407,0.240740741,0.351851852,0.055555556
Evan Marshall,384,3.959755056,5.735636202,3.848277925,,3.00311653,4.122580907,,,5.5441775,0.557823129,0.204081633,0.238095238,0.319727891
Alex Claudio,331,3.96263765,,3.71987463,4.82678,4.247304246,,,,5.0092926,0.432432432,0.216216216,0.351351351,0.081081081
Riley Smith,250,3.964361572,,4.343683235,3.029141178,,3.870386589,,,4.7870235,0.394904459,0.191082803,0.414012739,-0.01910828
Jordan Romano,237,3.975968274,5.704223384,,2.81927861,,,,,4.6022916,0.395833333,0.1875,0.416666667,-0.020833333
Yimi García,241,3.978423055,3.832219356,,3.742598461,6.136885152,3.195064168,,,5.245782,0.5,0.194444444,0.305555556,0.194444444
Kyle Hendricks,1162,3.990000991,4.354898636,4.306948127,,3.485919642,4.024915674,,,4.860552,0.373584906,0.245283019,0.381132075,-0.00754717
Merrill Kelly,473,3.994519822,4.760196387,3.637829265,,4.031187432,4.113402477,2.588376037,,5.20268,0.486486486,0.202702703,0.310810811,0.175675676
Will Harris,349,3.994769258,,,,,4.589928925,3.82346869,,5.2489753,0.371794872,0.307692308,0.320512821,0.051282051
