Pitcher,# Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Wil Crowe,2171,5.429339774,6.259415291,5.899405257,4.309651711,4.402313086,6.554070003,,
Cionel Pérez,454,5.431074142,5.470223901,,5.111628675,6.286918117,,,
Joey Lucchesi,646,5.434242713,,5.673093195,,,5.027309374,5.587072204,
Phillips Valdez,684,5.441696167,,6.44923138,4.597857451,4.794900635,,,
John Gant,1975,5.44576416,5.197487613,5.774973204,4.816471382,5.001149537,5.566130583,5.945638486,
Zach Davies,2577,5.467996133,,6.057894635,,4.386372713,5.30150071,6.248609742,
Alex Young,912,5.471777696,6.297895972,5.276516662,,5.689479555,4.703664746,5.952253821,
Junior Fernández,372,5.475049911,,5.964684697,4.902335644,5.119848633,,,
Jimmy Lambert,246,5.481738751,5.345104607,,5.602721756,7.070150296,,,
Alec Bettinger,199,5.48390274,5.225899933,,6.181671274,,7.990083891,,
Chad Kuhl,1436,5.485592158,6.53760481,6.604455651,4.3748152,6.460102564,6.151366298,,
Shelby Miller,273,5.490967399,6.464295764,,4.595398968,,,5.179980329,
Steven Brault,498,5.496696564,6.092001481,7.364122537,4.560624441,4.253753199,5.238586378,,
Ben Bowden,674,5.502483617,5.577926552,,6.210478894,4.550164135,7.149160155,,
Alex Wells,754,5.504074574,5.951315403,,4.371602914,5.104146542,5.693963392,,
Sean Nolin,499,5.504529762,6.155764943,,,5.128125269,6.149042948,4.293123996,
Wade Davis,769,5.509928584,5.873976353,7.160296504,,,5.948654348,4.770505425,
Johan Oviedo,1086,5.52482809,5.939304583,,4.32908193,6.816629172,4.905949718,,
Andrew Albers,365,5.525746396,5.51781964,5.440113008,5.127749708,5.564947958,6.687934886,,
Ryan Feltner,142,5.540358895,6.970785374,,5.587027637,,,,
Eric Yardley,315,5.544515337,,5.184790819,,7.879219383,6.099016978,,
Jefry Rodriguez,412,5.547904446,5.947097276,6.251002127,,,4.331961971,,
T.J. Zeuch,286,5.551911418,,5.537915717,5.694899783,8.289122124,,4.364858804,
Justus Sheffield,1470,5.570675798,9.021898945,5.592907729,4.816694969,6.078286566,,,
Mitch Keller,1858,5.575772519,6.169923868,,4.442705701,5.986003826,4.996379541,,
Edwin Uceta,361,5.582411094,,5.432388138,,6.322479904,5.50692587,,
Brandyn Sittinger,80,5.584145818,5.809267394,,5.058862822,,,,
Dillon Peters,443,5.588436127,5.497013691,5.731072502,,6.807936031,3.292037948,,
Cam Bedrosian,468,5.595550537,6.074414063,,4.770733433,,,,5.544191895
Stefan Crichton,403,5.600255912,,5.793801588,,,6.619686637,,
Asher Wojciechowski,83,5.603487492,7.988567798,,5.210448557,,,,
Alberto Baldonado,215,5.611145496,6.151925729,6.095430808,5.51506506,,,,
Yency Almonte,871,5.618670057,6.089384785,7.301723099,4.725310655,7.202923341,,,
Scott Kazmir,207,5.627629448,4.985167196,7.201187339,7.908070564,5.381770168,,,
Zac Lowther,571,5.645464608,5.33393753,,4.939957419,7.262216709,5.249288963,,
Kyle Nelson,176,5.646589082,6.990291652,,5.523303138,,,5.483197307,
José Alvarado,1045,5.651674191,6.415153571,5.993745423,,,3.844791504,4.196405318,
Jake Faria,639,5.6531534,6.517727519,,4.558935285,,6.202838798,,3.568890616
Jake Arrieta,1746,5.662244642,,5.642098322,5.292220603,5.49192107,6.381490612,,
Enyel De Los Santos,697,5.675731011,5.46724048,,5.165713251,7.883087508,,,
Nick Neidert,598,5.679502541,6.298643095,,4.269069924,6.49680352,6.465648718,,
Jay Flaa,61,5.689234614,9.379548959,,,,,,
Brett de Geus,911,5.691278076,,6.130635653,,,5.543762831,5.195350305,
Josh Lindblom,342,5.69761322,6.356980115,,6.969611178,3.303281376,7.54038002,6.438644015,
Nate Pearson,301,5.6978007,6.172994939,,5.272518916,,,,
Edgar García,281,5.699891697,8.558225551,6.794198479,5.727377004,,,,
Jason Foley,198,5.701046359,,6.689761964,5.561583157,,,,
Trevor Cahill,665,5.703435949,6.321020921,5.998990527,,5.64734543,5.641695157,5.1668333,
Joe Jiménez,866,5.708323759,5.785488832,,5.557321586,5.764814068,,,
Héctor Santiago,491,5.719042621,5.904340285,,4.178073405,5.896150576,,,
A.J. Alexy,424,5.73214987,5.660651852,,5.450727906,5.932759615,6.450321519,,
Carson Fulmer,448,5.736449403,6.445997467,,,6.942852046,4.758645172,4.635257505,
Brad Brach,579,5.752267456,7.136404201,5.647860429,4.787228038,4.44709787,,,
Jace Fry,136,5.753565788,,6.055444864,,,6.393553948,8.118472658,
Thomas Hatch,166,5.775417055,5.535191069,7.226014375,,5.819127484,,4.806203804,
Edward Cabrera,482,5.788574026,6.248593543,,5.259177211,6.658137205,4.11388197,,
Shane Greene,468,5.794485388,,7.663908595,4.104661606,6.671978395,,5.206899374,
Robert Stock,168,5.796848297,6.541017448,,3.329459427,7.533686447,,,
Tanner Rainey,665,5.797161062,6.168517126,,5.117659841,,,,
Will Harris,135,5.810188929,,,,,6.247051312,5.867473719,
Seth Elledge,221,5.813665989,,5.786325018,5.877874751,,,,
Jeff Hoffman,1360,5.817658725,5.738162741,,5.896641084,5.82062135,6.345346738,,
Braxton Garrett,604,5.825442146,6.491722412,7.590260272,4.934834338,4.876612299,4.993398048,,
Adam Plutko,1014,5.834423359,5.734562823,,5.600930063,,6.329488754,5.98580527,
Justin Lawrence,326,5.843978577,,6.280906431,5.075972147,,,,
Kevin Ginkel,556,5.848455452,6.192193832,,5.394272843,,,,
Dillon Maples,565,5.857126114,6.51255446,7.721797668,4.501254863,,5.167161343,,
David Hess,367,5.860697937,6.274454523,,5.776008436,,,,
J.C. Mejía,982,5.892941031,6.401303909,5.727878859,5.170242167,7.512131758,5.556758675,,
Mike Wright Jr.,325,5.896253798,6.036353641,4.878685447,6.599700137,5.483783925,,,
Rex Brothers,998,5.899704267,5.96597423,,5.928939543,,,,
Patrick Weigel,93,5.901615143,9.607580423,,4.827216103,,,,
Spencer Howard,936,5.904318176,6.271366519,,6.302727932,6.518087093,6.197023119,3.331485322,
José Quintana,1240,5.909690736,4.841212019,7.022284605,,7.528277604,5.916646628,,
Humberto Mejía,421,5.931785697,6.275215786,6.628106994,4.450765855,5.172000795,7.085244749,,
Cody Stashak,308,5.944864801,7.315626282,,5.04269315,,,,
Taylor Williams,219,5.956252834,6.681166737,7.589083712,4.766755178,,,,
Tony Gonsolin,990,5.961633374,6.178109632,,5.726633943,,5.985939436,,5.796645083
Junior Guerra,1225,5.964103387,5.505714795,6.218931343,5.141367959,,5.976119979,,6.275242755
Wes Benjamin,461,5.969047098,6.488913334,,,6.878390842,5.742675683,5.441198725,
Carl Edwards Jr.,111,6.014668633,5.49379705,,,,7.573936373,,
Sean Newcomb,673,6.044791939,6.478886404,,,,7.970165168,4.034872194,
JD Hammer,405,6.084096527,6.664647174,,5.650611877,,,,
Dan Winkler,787,6.097642915,5.79576786,6.483774709,,,7.642911762,6.028227842,
Zack Britton,337,6.123475924,,6.179816955,7.087056193,,,,
Jason Adam,218,6.129355431,5.711896425,,,10.32706178,7.648001412,,
Angel Perdomo,354,6.142606399,6.121226837,,5.806953531,6.915009579,,,
Peter Lambert,123,6.166572122,5.572552024,,,7.133922925,7.012347229,,
Jerad Eickhoff,357,6.195749832,6.9113023,,4.715064652,5.672553504,6.942736326,,
Tyler Chatwood,591,6.236951828,7.906493866,7.29967317,,9.248454635,4.319167986,4.573789635,
Hans Crouse,131,6.249214172,,6.904066055,5.984127923,4.965558253,,,
Buck Farmer,726,6.256879267,7.198020422,,5.184459959,5.62469919,,,
Brandon Workman,515,6.278776441,6.48166635,,,,6.353799006,5.284203223,
James Hoyt,182,6.280201912,,8.205212901,6.295349345,,,,
Demarcus Evans,522,6.309800546,6.586700864,,5.720410806,,,6.012680989,
Jeremy Beasley,198,6.408380781,7.211493465,,3.459801427,8.272023072,,,
Jovani Moran,162,6.432388306,6.014157957,,,7.077913055,,,
Kyle Wright,133,6.433155261,7.136947632,10.13905921,7.231994629,,,,
Corbin Martin,342,6.455415249,6.655297985,,6.166827243,6.311676993,5.76143693,,
Seth Frankoff,260,6.457329317,7.450253604,,5.357845282,3.918740506,10.00534101,,
Ryan Meisinger,149,6.509580959,7.599914264,9.098842906,5.245363517,,,,
Jackson Kowar,631,6.520807287,7.18836342,,6.713709205,5.70650243,,,
Joan Adon,94,6.524731636,9.403461657,,3.868965075,,,,
Austin Brice,274,6.526386912,5.952990243,7.049031918,,,7.285546962,,
Thomas Szapucki,82,6.527396289,6.190299389,,,9.734312231,,,
Jorge Guzman,61,6.527578926,15.3147044,,,,,,
Jake Jewell,215,6.542314148,7.149244429,7.349337937,4.919327541,5.071811396,,,
Drew Carlton,73,6.55343888,,7.48303653,8.205676148,,,,
Zack Godley,88,6.557331848,,,,,8.315756989,8.406254768,
Daniel Ponce de Leon,653,6.557754822,6.920858627,,,3.812205894,5.497451168,7.743819727,
Rafael Dolis,605,6.567025185,,6.831789273,6.319971098,,,,6.230892282
Adam Kolarek,190,6.619787428,,6.371625264,5.642713308,8.499402122,,,
Cory Abbott,352,6.637992272,6.661475475,,8.030533415,6.974398435,6.953846389,,
Jake Newberry,100,6.658056406,8.387490297,,5.545550408,,,,
Bryan Garcia,731,6.675649869,,7.220113522,6.235597577,6.008955382,,,
Jordan Weems,134,6.682751824,7.593787648,,7.024042258,,,,
Luis Frias,68,6.692733765,7.632375755,,5.992434631,,,,
Jake Petricka,135,6.73808225,,9.531568501,,4.972943262,,,
Nick Margevicius,259,6.755915324,6.799931335,,9.537596173,,6.33706712,,
Clarke Schmidt,143,6.76596511,6.254150072,7.997171434,,7.501748115,5.63173671,,
Luis Oviedo,580,6.804957358,6.749787132,,6.223703617,7.115910738,7.401716852,,
Scott Blewett,92,6.930731201,7.046341941,,8.623394696,,,,
Mike Kickham,45,6.988839149,,,8.276256888,,,,
Beau Burrows,267,7.186011574,6.236280064,,8.521001836,11.31850526,,,
Jon Duplantier,270,7.193339421,7.891345617,6.817036622,6.36639781,7.406255007,6.684869282,,
Nick Nelson,338,7.256258942,7.053077609,,7.601474629,8.314035722,,,
Javy Guerra,148,7.418023427,9.77673216,,7.667977707,,,,
Alex Blandino,72,7.713760029,8.544472648,,,,,,
Riley O'Brien,42,7.823150396,14.2857529,,,,,,
Trevor Hildenberger,58,7.892445701,,8.840293188,10.43208986,,,,
Luis Avilán,108,8.05271225,,9.269293745,,8.565696217,,,
Tyler Webb,392,8.168498448,8.299850771,9.717446352,,7.088045303,5.868023279,,
Mac Sceroler,198,8.442949378,9.243030068,,7.031587725,,7.472185154,,7.580955948
Geoff Hartlieb,213,8.549663968,8.161068341,9.702477913,7.778965003,,,,
Wilmer Difo,59,9.233642578,13.9688439,,,,,,
Jesse Hahn,88,9.463992691,,11.76981059,,,6.920625973,,
Enoli Paredes,254,9.607089703,11.44170036,,5.004989601,,9.505334131,,
Elvis Peguero,64,9.67079871,,7.921984388,13.51818891,,,,
Brett Phillips,23,10.54311562,,,11.02234814,,,,
Albert Almora Jr.,28,12.56506443,,,14.65924184,,,,
Yermín Mercedes,32,14.64970875,15.626356,,,,,,
