Pitcher,# Pitches,PLA,FF,SI,SL,CH,CU,FC,FS
Jordan Romano,1031,3.554229494,3.482985885,,3.731931007,,,,
Caleb Thielbar,1106,3.571198463,3.801669176,,3.007339607,,4.077647627,,
Kervin Castro,201,3.575541687,3.248415967,,,,4.601370023,,
Jake Reed,160,3.576632309,,6.395385079,3.612843951,4.216983795,,,
Daniel Hudson,865,3.577987474,3.540098819,,3.428342577,6.304842444,,,
Carlos Rodón,2219,3.578568655,3.715727591,,3.163045924,3.795337412,4.141487697,,
Chris Mazza,413,3.585805753,,4.096869009,3.252213934,,,4.155065487,
Connor Brogdon,923,3.586622558,4.090237493,,,2.098775019,,5.177543832,
Nick Snyder,59,3.587508722,4.601369882,,,,,,
Adam Cimber,1022,3.587872456,3.466661937,2.905411788,4.479770156,,,,
Joe Kelly,712,3.593159416,5.362588234,4.87619892,,4.437770171,2.06468265,,
Erasmo Ramírez,392,3.596592808,2.792314494,4.568639582,,4.503285313,,2.766330845,
Evan Phillips,244,3.615870667,4.60665995,,2.425594889,4.368292985,,,
Spencer Turnbull,775,3.619530029,3.80577617,3.979466388,3.120760707,2.805172069,4.605724384,,
Elieser Hernandez,818,3.621077211,4.171336068,,2.822029675,4.102200247,,,
Josh Fleming,1629,3.625032565,,3.477706643,,4.381926629,3.513073857,3.305355409,
Aaron Bummer,962,3.631471713,,4.411527927,1.899529763,,,4.430166035,
Louis Head,546,3.632118879,3.2918094,,4.043342972,,,,
Tony Watson,866,3.632282346,4.260077068,4.053736931,2.974586035,3.438412565,,,
Pete Fairbanks,775,3.64676249,4.774745814,,2.137129745,,,,
Zach Eflin,1615,3.654198295,4.394839248,4.077539489,3.029827,2.942727703,3.273575441,,
Jarlín García,1002,3.655915121,3.61813656,,3.989444825,3.446064288,,,
Aaron Loup,833,3.657183299,,3.306070476,,4.336553693,4.126992843,3.937937732,
Pablo López,1669,3.657681849,4.038099275,3.816509563,,2.652125486,4.685214787,4.289797882,
Sam Coonrod,712,3.663090503,3.385937619,4.036957977,3.008530212,3.983395829,,,
Logan Webb,2214,3.66420871,5.391844107,3.550395912,3.497150513,3.272269939,,4.551002994,
Charlie Morton,2987,3.673104579,4.575971089,4.298562384,,3.920292396,2.668239406,3.078598235,
José Urquidy,1631,3.680299278,3.772039151,,3.121356554,3.721771969,4.363512657,,
Reiver Sanmartin,181,3.684284101,3.564777573,2.819604598,3.606634071,4.61850591,,,
Nick Vincent,182,3.684787349,5.051194287,,,,,3.584256988,
Joe Smith,650,3.688393473,4.178467202,3.318150074,3.872890506,,,,
Matt Strahm,136,3.690093613,4.681994771,,4.919626617,,4.418339103,,
Janson Junk,247,3.711261282,4.498094675,,2.468658522,,3.561264532,,
Raynel Espinal,36,3.71164155,,6.362814086,,,,,
Chris Martin,664,3.711974628,4.693684435,3.928169329,3.03220353,3.503124491,,2.773509299,
Francisco Mejía,28,3.715662479,,,4.954216639,,,,
Ryan Yarbrough,2488,3.719120936,,3.966004583,,4.944844055,1.993508486,3.5609071,
Nick Sandlin,603,3.72851774,4.995533515,3.977523107,3.379466761,,,,
Michael Wacha,1974,3.729405531,4.102818763,,,3.06336702,4.620076692,3.874813544,
Emilio Pagán,1098,3.732972637,3.76217572,,,,,3.784685256,
Wandy Peralta,808,3.733628516,5.924833216,5.110114938,2.65739508,3.042824645,,,
Caleb Baragar,358,3.733707262,3.481010048,,5.452905754,,,,
Luis Cessa,949,3.737457275,4.991258771,4.836578131,3.307160787,2.914436837,,,
Richard Rodríguez,944,3.745617802,3.474169177,,5.430256127,,,,
Domingo Acevedo,174,3.748879173,4.701187083,,3.151856683,3.039961502,,,
Garrett Crochet,915,3.752411263,4.354774205,,1.994423992,5.054237404,,,
Bailey Ober,1476,3.756398776,3.815682248,,3.316578036,3.663176589,4.318144742,,
Kent Emanuel,240,3.75889098,,4.424868684,2.767435935,3.400320095,,,
José Álvarez,970,3.768453067,4.913082275,3.396452984,3.55582106,3.804495574,,4.867352486,
Scott Alexander,259,3.770757592,,3.791765735,4.377168475,,,,
Joe Mantiply,621,3.772312325,8.343815974,3.414499985,,4.092855691,3.767628442,,
Matt Barnes,919,3.782189718,4.618421932,,,,3.043599979,,
Reynaldo López,938,3.784874183,4.136987641,,3.143517137,4.644743073,4.098230329,,
Ian Kennedy,899,3.784992376,3.484040704,,,5.62118546,4.416483424,5.624063448,
Lucas Giolito,2970,3.785956995,4.756302317,,3.842633928,2.306932978,4.926465234,,
Ben Rowen,198,3.795130113,,5.368314122,2.738741429,,,,
José Ruiz,1037,3.796934392,4.039836888,,,4.226217455,3.493273795,,
Steven Okert,601,3.797420078,6.695461787,5.350279122,2.09292886,,,,
John King,696,3.801917366,,3.623921223,4.278865357,3.824797513,,4.431695455,
Brent Suter,1221,3.802733543,3.30002352,7.041264193,,5.265635417,4.47828867,,
Brett Martin,918,3.81163335,4.203045519,4.261745197,3.242947333,,3.403369481,,
Neftali Feliz,67,3.817701578,5.442255441,,,,,,
Drew Pomeranz,430,3.82073281,4.11398445,,,,3.009555443,,
Aaron Ashby,532,3.823599484,,5.323549117,2.206633085,4.574479065,4.494013596,,
Chris Sale,736,3.824408054,3.980285569,3.886502438,3.960897853,3.281353489,,,
Scott Barlow,1223,3.827117373,4.290822884,,3.647649121,,3.671712696,,
Yu Darvish,2769,3.834006881,4.562807034,5.680899666,2.775219624,,3.963779766,3.298605393,6.372123547
Tim Mayza,841,3.83859512,,3.732639639,4.162553352,,,,
Giovanny Gallegos,1236,3.840457521,4.913898418,,2.440650843,4.584300898,,,
Chris Bassitt,2381,3.846386408,4.460144872,3.867926874,2.962482014,4.076367956,3.479543292,3.644004119,
Mark Melancon,1053,3.847748825,6.085234892,,,,3.412918227,4.020406563,
Max Scherzer,2821,3.849380323,4.22654825,,2.836759494,3.455857809,3.979173276,4.51942276,
Adbert Alzolay,1955,3.849560563,4.650840165,4.461076077,3.244866829,3.952851685,3.842691186,2.524564189,
Daulton Jefferies,220,3.849645233,5.649137991,4.30810943,,2.964390638,,4.143136883,
Danny Duffy,1009,3.851072218,3.185174075,4.654937951,4.713323226,4.408299843,3.493194025,,
Anthony Bender,973,3.856324071,,4.265680669,3.589104857,,,,
Nestor Cortes,1524,3.866493143,3.833218318,4.954898369,3.710459046,6.288597113,2.710893817,2.874536169,
Jordan Montgomery,2570,3.867897034,5.229167173,4.766815666,,3.164454212,2.721282189,4.057161066,
Joe Barlow,455,3.86854106,4.13329438,,3.488168782,,4.94324203,,
Trevor May,1117,3.874196884,3.722494277,,4.013457243,4.294098655,,,
Anthony DeSclafani,2558,3.876469455,3.601638271,4.285361419,3.661293832,4.669524856,3.74013405,,
Chris Paddack,1869,3.881004357,4.194504829,,,2.047665928,6.293620621,,
Andrew Chafin,947,3.882722577,4.075309185,4.203559151,3.264844076,,,,
Drew Smith,610,3.89010817,4.146156212,,,6.34786123,4.669075724,2.892833771,
Nick Tropeano,120,3.890422106,5.150318742,5.788508112,5.138037906,,,,
Keone Kela,203,3.892096996,4.477530211,,,,3.30851096,,
Trevor Bauer,1787,3.894304683,3.638039055,4.015582569,2.986265111,6.374228082,5.279521359,4.174032028,
Robbie Ray,3141,3.90347269,3.638886663,,3.941005217,6.237754738,4.884926079,,
Jordan Yamamoto,111,3.903478432,5.383999581,,5.491029584,,,4.734558704,
Drew Steckenrider,1008,3.904154059,3.820173592,,,3.615456746,4.458254836,,
Casey Sadler,581,3.905891986,,4.133039059,,,4.298619884,3.468582561,
