year_played,pitchername,pitcher_mlb_id,pitchtype,p_hand,b_hand,num_pitches,subset_ip,plv,pitch_runs
2020,Adam Morgan,605388,SI,L,R,17,1.1945945945945946,5.03,0.517222
2020,Adam Morgan,605388,SL,L,R,12,0.8432432432432433,5.14,0.337677
2020,Adam Ottavino,493603,CH,R,L,6,0.3244837758112094,3.35,0.390688
2020,Adam Ottavino,493603,CU,R,L,3,0.1622418879056047,4.95,0.095977
2020,Adam Ottavino,493603,SI,R,L,63,3.4070796460176993,4.16,3.051023
2020,Adam Ottavino,493603,SL,R,L,33,1.7846607669616519,5.85,0.440474
2020,Adam Ottavino,493603,CH,R,R,4,0.21632251720747295,5.73,0.063005
2020,Adam Ottavino,493603,CU,R,R,16,0.8652900688298918,4.78,0.570120
2020,Adam Ottavino,493603,FC,R,R,11,0.5948869223205506,5.07,0.324170
2020,Adam Ottavino,493603,SI,R,R,96,5.1917404129793505,4.87,3.231476
2020,Adam Ottavino,493603,SL,R,R,107,5.786627335299902,5.63,1.920738
2020,Adam Plutko,592644,CH,R,L,19,1.1786248131539612,4.78,0.676731
2020,Adam Plutko,592644,CU,R,L,28,1.7369207772795219,4.26,1.294029
2020,Adam Plutko,592644,FF,R,L,111,6.885650224215246,4.78,3.940221
2020,Adam Plutko,592644,SL,R,L,41,2.5433482810164425,4.95,1.315452
2020,Adam Plutko,592644,CH,R,R,1,0.06203288490284006,4.20,0.047460
2020,Adam Plutko,592644,CU,R,R,31,1.923019431988042,4.59,1.226494
2020,Adam Plutko,592644,FF,R,R,113,7.009715994020928,4.72,4.147371
2020,Adam Plutko,592644,SL,R,R,102,6.327354260089686,4.73,3.728187
2020,Adam Wainwright,425794,CH,R,L,22,1.553405017921147,4.47,0.922247
2020,Adam Wainwright,425794,CU,R,L,173,12.21541218637993,5.62,3.136112
2020,Adam Wainwright,425794,FC,R,L,118,8.331899641577062,5.50,2.429616
2020,Adam Wainwright,425794,FF,R,L,80,5.6487455197132626,4.32,3.604619
2020,Adam Wainwright,425794,SI,R,L,79,5.5781362007168465,4.34,3.531958
2020,Adam Wainwright,425794,CH,R,R,1,0.07060931899641577,5.91,0.012137
2020,Adam Wainwright,425794,CU,R,R,181,12.780286738351254,5.46,3.883382
2020,Adam Wainwright,425794,FC,R,R,94,6.6372759856630825,4.94,3.036578
2020,Adam Wainwright,425794,FF,R,R,39,2.7537634408602156,4.72,1.431637
2020,Adam Wainwright,425794,SI,R,R,142,10.026523297491039,4.28,6.529053
2020,Adam Wainwright,425794,SL,R,R,1,0.07060931899641577,3.57,0.060677
2020,Adbert Alzolay,640470,CH,R,L,28,1.5434969853574503,4.54,1.135810
2020,Adbert Alzolay,640470,CU,R,L,57,3.1421188630490957,4.93,1.843867
2020,Adbert Alzolay,640470,FF,R,L,70,3.858742463393626,4.48,2.929835
2020,Adbert Alzolay,640470,SI,R,L,27,1.4883720930232558,4.53,1.097068
2020,Adbert Alzolay,640470,SL,R,L,14,0.7717484926787251,5.93,0.164807
2020,Adbert Alzolay,640470,CH,R,R,3,0.16537467700258396,4.95,0.096196
2020,Adbert Alzolay,640470,CU,R,R,65,3.583118001722653,5.09,1.888974
2020,Adbert Alzolay,640470,FF,R,R,71,3.9138673557278207,4.51,2.927049
2020,Adbert Alzolay,640470,SI,R,R,34,1.8742463393626183,4.30,1.548108
2020,Adbert Alzolay,640470,SL,R,R,18,0.9922480620155039,5.74,0.281610
2020,Adonis Medina,658431,CH,R,L,6,0.2857142857142857,3.85,0.329516
2020,Adonis Medina,658431,CU,R,L,2,0.09523809523809523,5.02,0.061130
2020,Adonis Medina,658431,FF,R,L,8,0.38095238095238093,4.26,0.370425
2020,Adonis Medina,658431,SI,R,L,2,0.09523809523809523,4.83,0.068963
2020,Adonis Medina,658431,CH,R,R,11,0.5238095238095238,4.99,0.343775
2020,Adonis Medina,658431,CU,R,R,18,0.8571428571428571,4.62,0.698699
2020,Adonis Medina,658431,FF,R,R,22,1.0476190476190477,4.91,0.721508
2020,Adonis Medina,658431,SI,R,R,13,0.6190476190476191,4.61,0.506532
2020,Adonis Medina,658431,SL,R,R,2,0.09523809523809523,3.96,0.104952
2020,Adrian Houser,605288,CH,R,L,101,6.14115092290988,4.50,4.169819
2020,Adrian Houser,605288,CU,R,L,86,5.229098805646037,4.84,2.953915
2020,Adrian Houser,605288,FF,R,L,151,9.181324647122691,4.59,5.972313
2020,Adrian Houser,605288,SI,R,L,181,11.00542888165038,4.81,6.322331
2020,Adrian Houser,605288,SL,R,L,35,2.1281216069489686,5.01,1.079988
2020,Adrian Houser,605288,CH,R,R,5,0.3040173724212812,4.99,0.155697
2020,Adrian Houser,605288,CU,R,R,25,1.520086862106406,5.04,0.755907
2020,Adrian Houser,605288,FF,R,R,36,2.1889250814332244,4.46,1.520689
2020,Adrian Houser,605288,SI,R,R,223,13.559174809989141,5.01,6.841247
2020,Adrian Houser,605288,SL,R,R,78,4.742671009771986,5.31,1.915891
2020,Adrian Morejon,670970,CH,L,L,6,0.36024844720496896,5.06,0.178905
2020,Adrian Morejon,670970,CU,L,L,35,2.101449275362319,5.37,0.813317
2020,Adrian Morejon,670970,FF,L,L,10,0.6004140786749482,5.04,0.302315
2020,Adrian Morejon,670970,SI,L,L,56,3.36231884057971,5.44,1.224184
2020,Adrian Morejon,670970,SL,L,L,17,1.020703933747412,5.22,0.450490
2020,Adrian Morejon,670970,CH,L,R,50,3.0020703933747406,5.55,0.980009
2020,Adrian Morejon,670970,CU,L,R,22,1.320910973084886,5.10,0.634683
2020,Adrian Morejon,670970,FF,L,R,14,0.8405797101449275,5.28,0.353231
2020,Adrian Morejon,670970,SI,L,R,101,6.0641821946169765,4.63,3.899204
2020,Adrian Morejon,670970,SL,L,R,11,0.660455486542443,5.77,0.165034
2020,Albert Abreu,656061,CH,R,L,7,0.21705426356589147,4.10,0.347041
2020,Albert Abreu,656061,CU,R,L,3,0.09302325581395349,5.11,0.086207
2020,Albert Abreu,656061,FF,R,L,1,0.031007751937984496,5.31,0.024533
2020,Albert Abreu,656061,SI,R,L,14,0.43410852713178294,3.69,0.812472
2020,Albert Abreu,656061,CH,R,R,1,0.031007751937984496,6.14,0.007339
2020,Albert Abreu,656061,FF,R,R,5,0.15503875968992248,4.98,0.157179
2020,Albert Abreu,656061,SI,R,R,4,0.12403100775193798,4.49,0.165858
2020,Albert Abreu,656061,SL,R,R,8,0.24806201550387597,4.62,0.310465
2020,Alec Mills,621219,CH,R,L,95,6.2663139329806,4.50,3.929751
2020,Alec Mills,621219,CU,R,L,112,7.387654320987655,4.99,3.491630
2020,Alec Mills,621219,FF,R,L,159,10.487830687830689,4.51,6.530748
2020,Alec Mills,621219,SI,R,L,154,10.158024691358026,4.90,5.089849
2020,Alec Mills,621219,SL,R,L,40,2.638447971781305,4.81,1.399997
2020,Alec Mills,621219,CH,R,R,56,3.6938271604938273,4.95,1.790076
2020,Alec Mills,621219,CU,R,R,30,1.9788359788359788,4.82,1.038829
2020,Alec Mills,621219,FF,R,R,84,5.540740740740741,4.20,3.999977
2020,Alec Mills,621219,SI,R,R,160,10.55379188712522,4.95,5.108324
2020,Alec Mills,621219,SL,R,R,55,3.6278659611992943,4.89,1.824011
2020,Alex Claudio,592222,CH,L,L,35,2.015151515151515,5.34,0.835292
2020,Alex Claudio,592222,FF,L,L,6,0.34545454545454546,4.48,0.249987
2020,Alex Claudio,592222,SI,L,L,63,3.6272727272727274,5.68,1.069396
2020,Alex Claudio,592222,SL,L,L,45,2.590909090909091,4.64,1.727560
2020,Alex Claudio,592222,CH,L,R,91,5.239393939393939,4.92,2.971257
2020,Alex Claudio,592222,FF,L,R,9,0.5181818181818182,2.94,0.663825
2020,Alex Claudio,592222,SI,L,R,52,2.9939393939393937,4.54,2.101962
2020,Alex Claudio,592222,SL,L,R,29,1.6696969696969697,5.07,0.854777
2020,Alex Cobb,502171,CU,R,L,56,3.6315572077653866,5.00,1.739572
2020,Alex Cobb,502171,FF,R,L,140,9.078893019413465,4.68,5.274972
2020,Alex Cobb,502171,FS,R,L,177,11.478314745972739,4.75,6.418079
2020,Alex Cobb,502171,CU,R,R,79,5.123089632383313,5.04,2.387106
2020,Alex Cobb,502171,FF,R,R,248,16.082610491532424,4.61,9.686318
