year_played,pitchername,pitcher_mlb_id,pitchtype,p_hand,b_hand,num_pitches,subset_IP,pitch_runs
2020,Austin Voth,608723,FF,R,L,251,14.59758002,7.9627137
2020,Austin Voth,608723,FF,R,R,297,17.27283372,11.376932
2020,Austin Voth,608723,SL,R,R,43,2.50078064,0.96759325
2020,Beau Burrows,663366,FF,R,L,21,2,0.76227033
2020,Beau Burrows,663366,FF,R,R,26,2.476190476,1.1505951
2020,Beau Burrows,663366,SL,R,R,23,2.19047619,0.7296378
2020,Ben Braymer,664069,CH,L,R,33,1.753623188,0.8068541
2020,Ben Braymer,664069,CU,L,R,23,1.222222222,0.739836
2020,Ben Braymer,664069,FF,L,L,31,1.647342995,1.5241419
2020,Ben Braymer,664069,FF,L,R,51,2.710144928,2.760168
2020,Ben Heller,621294,CU,R,R,27,2.417910448,0.8407285
2020,Ben Heller,621294,FF,R,L,40,3.582089552,0.9032268
2020,Blake Cederlind,664977,SI,R,L,21,2.048780488,0.43547752
2020,Blake Cederlind,664977,SI,R,R,20,1.951219512,0.21938221
2020,Blake Parker,453284,CU,R,L,45,2.307692308,1.5255061
2020,Blake Parker,453284,CU,R,R,28,1.435897436,0.9635862
2020,Blake Parker,453284,FF,R,L,67,3.435897436,2.2975547
2020,Blake Parker,453284,FF,R,R,61,3.128205128,2.5975556
2020,Blake Parker,453284,FS,R,L,56,2.871794872,1.4864075
2020,Blake Parker,453284,FS,R,R,55,2.820512821,1.1266524
2020,Blake Snell,605483,CH,L,R,173,9.919724771,3.7748199
2020,Blake Snell,605483,CU,L,L,26,1.490825688,0.3628661
2020,Blake Snell,605483,CU,L,R,103,5.905963303,2.9627473
2020,Blake Snell,605483,FF,L,L,121,6.938073394,2.143903
2020,Blake Snell,605483,FF,L,R,320,18.34862385,8.480797
2020,Blake Snell,605483,SL,L,L,63,3.612385321,0.9782679
2020,Blake Snell,605483,SL,L,R,66,3.78440367,0.8499318
2020,Blake Taylor,642130,FF,L,L,97,5.878787879,2.743733
2020,Blake Taylor,642130,FF,L,R,168,10.18181818,5.735246
2020,Blake Taylor,642130,SL,L,L,51,3.090909091,1.529446
2020,Blake Taylor,642130,SL,L,R,25,1.515151515,0.8023331
2020,Blake Treinen,595014,FC,R,L,30,1.984536082,0.7381331
2020,Blake Treinen,595014,FF,R,L,29,1.91838488,1.0920345
2020,Blake Treinen,595014,SI,R,L,49,3.241408935,0.9391302
2020,Blake Treinen,595014,SI,R,R,173,11.44415808,3.2372386
2020,Blake Treinen,595014,SL,R,L,28,1.852233677,0.6610989
2020,Blake Treinen,595014,SL,R,R,79,5.225945017,1.1764032
2020,Brad Boxberger,502202,CH,R,L,34,1.748571429,0.41161007
2020,Brad Boxberger,502202,CH,R,R,52,2.674285714,1.1626341
2020,Brad Boxberger,502202,FF,R,L,77,3.96,2.589544
2020,Brad Boxberger,502202,FF,R,R,124,6.377142857,4.8434267
2020,Brad Boxberger,502202,SL,R,L,24,1.234285714,0.77055967
2020,Brad Boxberger,502202,SL,R,R,39,2.005714286,1.5158585
2020,Brad Brach,542960,CH,R,L,25,1.573129252,0.9938747
2020,Brad Brach,542960,CH,R,R,34,2.139455782,0.4302014
2020,Brad Brach,542960,FC,R,R,31,1.950680272,0.83941275
2020,Brad Brach,542960,FF,R,R,29,1.824829932,1.1453695
2020,Brad Brach,542960,SI,R,R,28,1.761904762,1.25501
2020,Brad Brach,542960,SL,R,R,49,3.083333333,1.8052928
2020,Brad Hand,543272,FF,L,L,31,1.894444444,0.8507135
2020,Brad Hand,543272,FF,L,R,96,5.866666667,3.695747
2020,Brad Hand,543272,SI,L,R,44,2.688888889,1.3936964
2020,Brad Hand,543272,SL,L,L,27,1.65,0.78819156
2020,Brad Hand,543272,SL,L,R,162,9.9,4.7438235
2020,Brad Keller,641745,FF,R,L,259,16.6572549,7.918659
2020,Brad Keller,641745,FF,R,R,76,4.887843137,2.7745173
2020,Brad Keller,641745,SI,R,L,83,5.338039216,3.4451838
2020,Brad Keller,641745,SI,R,R,104,6.688627451,4.799168
2020,Brad Keller,641745,SL,R,L,203,13.05568627,4.309219
2020,Brad Keller,641745,SL,R,R,125,8.039215686,3.1897125
2020,Brad Peacock,502748,SI,R,R,23,2.333333333,1.0752597
2020,Brady Lail,621078,CH,R,L,34,1.93495935,1.1649339
2020,Brady Lail,621078,CH,R,R,21,1.195121951,1.0590606
2020,Brady Lail,621078,CU,R,L,20,1.138211382,0.41100395
2020,Brady Lail,621078,CU,R,R,38,2.162601626,1.727388
2020,Brady Lail,621078,FF,R,L,38,2.162601626,1.1974114
2020,Brady Lail,621078,FF,R,R,54,3.073170732,1.9592896
2020,Brady Lail,621078,SI,R,L,25,1.422764228,0.79314893
2020,Brady Lail,621078,SI,R,R,24,1.365853659,1.5001214
2020,Brady Lail,621078,SL,R,R,33,1.87804878,1.5603614
2020,Brady Singer,663903,CH,R,L,50,3.017510944,2.1839452
2020,Brady Singer,663903,FF,R,L,294,17.74296435,12.320329
2020,Brady Singer,663903,FF,R,R,227,13.69949969,7.62328
2020,Brady Singer,663903,SI,R,L,52,3.138211382,2.3083067
2020,Brady Singer,663903,SI,R,R,42,2.534709193,1.090824
2020,Brady Singer,663903,SL,R,L,231,13.94090056,7.187594
2020,Brady Singer,663903,SL,R,R,170,10.25953721,4.76803
2020,Branden Kline,571858,FF,R,L,26,2.452830189,1.3351834
2020,Branden Kline,571858,FF,R,R,27,2.547169811,1.0381222
2020,Brandon Bailey,669064,FF,R,L,27,3.882352941,0.83066595
2020,Brandon Bailey,669064,FF,R,R,24,3.450980392,1.2053282
2020,Brandon Bielak,656232,CH,R,L,85,4.722222222,1.9434135
2020,Brandon Bielak,656232,CH,R,R,20,1.111111111,0.37040898
2020,Brandon Bielak,656232,CU,R,L,40,2.222222222,1.8512158
2020,Brandon Bielak,656232,FC,R,L,34,1.888888889,0.79636014
2020,Brandon Bielak,656232,FC,R,R,49,2.722222222,1.7619705
2020,Brandon Bielak,656232,FF,R,L,169,9.388888889,6.4419484
2020,Brandon Bielak,656232,FF,R,R,127,7.055555556,4.69809
2020,Brandon Bielak,656232,SL,R,R,52,2.888888889,1.830564
2020,Brandon Brennan,592165,CH,R,L,20,2.00913242,0.42860633
2020,Brandon Brennan,592165,CH,R,R,26,2.611872146,1.2552416
2020,Brandon Brennan,592165,SI,R,R,27,2.712328767,0.79517955
2020,Brandon Kintzler,445213,CH,R,L,39,2.911042945,1.6865656
2020,Brandon Kintzler,445213,SI,R,L,115,8.583844581,4.259558
2020,Brandon Kintzler,445213,SI,R,R,139,10.37525562,3.9945693
2020,Brandon Kintzler,445213,SL,R,R,33,2.463190184,1.1686766
2020,Brandon Leibrandt,605335,FF,L,L,45,3.932038835,1.2755628
2020,Brandon Leibrandt,605335,FF,L,R,27,2.359223301,1.1454641
2020,Brandon Leibrandt,605335,SL,L,L,31,2.708737864,0.9996875
2020,Brandon Woodruff,605540,CH,R,L,187,11.37544729,5.094675
2020,Brandon Woodruff,605540,CH,R,R,26,1.581612992,0.45963746
